a 啊 阿 嗄 腌 锕 
a#ba 阿爸 
you#zhi 优质 油脂 有之 有志 幼稚 
you#zhi#you#jia 优质优价 
you#zhong 优种 由衷 有种 
you#zhu 有助 
you#zhu#yu 有助于 
you#zi 邮资 游资 游子 
you#zi#ge 有资格 
you#zi#you#wei 有滋有味 
you#zui 有罪 
yu 谷 蔚 尉 迂 淤 于 盂 榆 虞 愚 舆 余 俞 逾 鱼 愉 渝 渔 隅 予 娱 雨 与 屿 禹 宇 语 羽 玉 域 芋 郁 吁 遇 喻 峪 御 愈 欲 狱 育 誉 浴 寓 裕 预 豫 驭 粥 禺 毓 伛 俣 谀 谕 萸 菸 菀 蓣 揄 喁 圄 嵛 饫 馀 庾 阈 鬻 妪 妤 纡 瑜 昱 觎 腴 欤 於 煜 熨 燠 聿 钰 鹬 瘀 窳 蜮 竽 臾 雩 龉 
yu#an 预案 
yu#ba#bu#neng 欲罢不能 
yu#bao 预报 
yu#bei 预备 
yu#bei#qi 预备期 
yu#bei#yi 预备役 
yu#cai 育才 
yu#ce 预测 
yu#ce#xing 预测性 
yu#chang 渔场 浴场 
yu#chi 鱼池 浴池 
yu#chuan 渔船 
yu#chun 愚蠢 
yu#ci 于此 榆次 
yu#ci#tong#shi 与此同时 
yu#cun 渔村 
yu#dai 玉带 
yu#dao 遇到 
yu#di 余地 
yu#dian 雨点 
yu#diao 语调 玉雕 
yu#ding 预定 预订 
yu#e 余额 
yu#er 鱼儿 育儿 
yu#fa 语法 愈发 
yu#fang 预防 
yu#fang#xing 预防性 
yu#fou 与否 
yu#fu 预付 
yu#fu#kuan 预付款 
yu#gan 预感 
yu#gang 渔港 
yu#gao 预告 
yu#gong 愚公 
yu#gong#yi#shan 愚公移山 
yu#gou 预购 
yu#gu 预估 
yu#guo 雨果 
yu#guo#tian#qing 雨过天晴 
yu#hai 遇害 
yu#han 御寒 
yu#hang 宇航 
yu#hang#ju 宇航局 
yu#hang#yuan 宇航员 
yu#he 愈合 
yu#hou#chun#sun 雨后春笋 
yu#hua#shi 雨花石 
yu#hui 迂回 余晖 与会 语汇 
yu#hui#zhe 与会者 
yu#ji 淤积 雨季 预计 
yu#jia 渔家 愈加 
yu#jian 遇见 预见 
yu#jian#xing 预见性 
yu#jiao#yu#le 寓教于乐 
yu#jin 于今 浴巾 
yu#jin#xiang 郁金香 
yu#jing 预警 
yu#ju 渔具 语句 
yu#kuai 愉快 
yu#kuan 余款 
yu#lai#yu 愈来愈 
yu#lan 玉兰 
yu#le 娱乐 
yu#le#xing 娱乐性 
yu#le#ye 娱乐业 
yu#lei 鱼雷 鱼类 
yu#liang 余粮 雨量 
yu#liao 预料 
yu#lin 榆林 鱼鳞 雨林 玉林 
yu#ling 育龄 
yu#liu 预留 
yu#long 玉龙 
yu#lu 雨露 语录 
yu#lun 舆论 渔轮 
yu#lun#jie 舆论界 
yu#mao 羽毛 
yu#mao#qiu 羽毛球 
yu#mao#qiu#dui 羽毛球队 
yu#mao#qiu#sai 羽毛球赛 
yu#mei 愚昧 
yu#men 玉门 
yu#mi 玉米 
yu#mi#mian 玉米面 
yu#mi#zhi#xiang 鱼米之乡 
yu#miao 鱼苗 育苗 
yu#min 渔民 
yu#ming 域名 
yu#mou 预谋 
yu#mu#hun#zhu 鱼目混珠 
yu#nan 遇难 
yu#ni 淤泥 
yu#nong 愚弄 
yu#qi 逾期 与其 语气 玉器 预期 
yu#qi#shuo 与其说 
yu#qian 余钱 
yu#qing 吁请 
yu#qiu 欲求 
yu#qu 渔区 
yu#qun 鱼群 
yu#re 余热 预热 
yu#ren 育人 
yu#ren#wei#shan 与人为善 
yu#ri#ju#zeng 与日俱增 
yu#rong 羽绒 
yu#rong#fu 羽绒服 
yu#rou 鱼肉 
yu#sai 淤塞 语塞 预赛 
yu#san 雨伞 
yu#shan 玉山 
yu#shang 遇上 
yu#shen 预审 
yu#sheng 余生 雨声 
yu#sheng#ju#lai 与生俱来 
yu#shi 于是 鱼市 玉石 遇事 浴室 预示 
yu#shi#chang#ci 与世长辞 
yu#shi#ge#jue 与世隔绝 
yu#shi#wu#bu 于事无补 
yu#shou 预收 预售 
yu#shu 榆树 玉树 
yu#shui 雨水 
yu#shui#qing 鱼水情 
yu#si 雨丝 
yu#su#ze#bu#da 欲速则不达 
yu#suan 预算 
yu#suan#nei 预算内 
yu#suan#wai 预算外 
yu#suo 寓所 
yu#tang 鱼塘 
yu#tian 雨天 玉田 
yu#wang 渔网 欲望 
yu#wei 余味 鱼尾 语委 誉为 
yu#wen 语文 
yu#wu 雨雾 
yu#xi 玉溪 豫西 
yu#xia 余下 鱼虾 
yu#xian 遇险 预先 
yu#xiang 预想 
yu#xuan 预选 
yu#xuan#sai 预选赛 
yu#xue 雨雪 浴血 
yu#xue#fen#zhan 浴血奋战 
yu#yan 语言 寓言 预言 预演 
yu#yan#xue 语言学 
yu#yan#xue#jia 语言学家 
yu#yan#yu#lie 愈演愈烈 
yu#yang 育秧 
yu#yao 余姚 
yu#ye 渔业 
yu#yi 予以 雨衣 羽翼 愈益 寓意 
yu#yin 语音 
yu#ying#li 预应力 
yu#yong#bo 于永波 
yu#you 遇有 
yu#yu 郁郁 寓于 
yu#yu#cong#cong 郁郁葱葱 
yu#yue 逾越 愉悦 预约 
yu#zhao 预兆 
yu#zhen 余震 
yu#zheng 渔政 
yu#zheng#sheng 俞正声 
yu#zhi 预制 
yu#zhong 鱼种 语种 狱中 育种 
yu#zhong#bu#tong 与众不同 
yu#zhong#xin#chang 语重心长 
yu#zhou 禹州 宇宙 
yu#zhou#fei#chuan 宇宙飞船 
yu#zhu 预祝 
yuan 薗 鸳 渊 冤 元 垣 袁 原 援 辕 园 员 圆 猿 源 缘 远 苑 愿 怨 院 垸 塬 芫 掾 圜 沅 媛 瑗 橼 爰 眢 鸢 螈 箢 鼋 
yuan#an 冤案 
yuan#ban 原版 
yuan#ban#ren#ma 原班人马 
yuan#bao 元宝 
yuan#ben 原本 
yuan#bo 渊博 远播 
yuan#cai#liao 原材料 
yuan#chan 原产 
yuan#chan#di 原产地 
yuan#chao 元朝 
yuan#cheng 远程 
yuan#chu 原处 远处 
yuan#chun#qing 袁纯清 
yuan#da 远大 
yuan#dai 元代 
yuan#dan 元旦 
yuan#dao#er#lai 远道而来 
yuan#di 原地 园地 
yuan#ding 原定 圆顶 
yuan#dong 远东 
yuan#dong#li 原动力 
yuan#e 员额 
yuan#fang 远方 院方 
yuan#fei 远非 
yuan#fen 缘分 
yuan#gao 原稿 原告 
yuan#ge 远隔 
yuan#gong 员工 
yuan#gu 缘故 远古 
yuan#hang 远航 
yuan#he 缘何 
yuan#hu 圆弧 
yuan#ji 原籍 
yuan#ji#hua 原计划 
yuan#jia 冤家 原价 
yuan#jian 元件 原件 援建 远见 
yuan#jian#zhuo#shi 远见卓识 
yuan#jiao 远郊 
yuan#jin 远近 
yuan#jing 远景 
yuan#kuan 援款 
yuan#lai 原来 
yuan#lao 元老 
yuan#li 原理 远离 院里 
yuan#liang 原谅 
yuan#liao 原料 
yuan#lin 园林 
yuan#lin#hua 园林化 
yuan#liu 源流 
yuan#luo 院落 
yuan#man 圆满 
yuan#mao 原貌 
yuan#mei 原煤 
yuan#men 院门 
yuan#meng 圆梦 
yuan#ming 原名 
yuan#ming#yuan 圆明园 
yuan#mu 原木 
yuan#nei 院内 
yuan#nian 元年 
yuan#qi 元气 远期 怨气 
yuan#qi#jian 元器件 
yuan#qiang 院墙 
yuan#qu 元曲 园区 远去 
yuan#quan 圆圈 源泉 
yuan#run 圆润 
yuan#se 原色 
yuan#shan 远山 
yuan#she 远射 
yuan#she#chong#yang 远涉重洋 
yuan#sheng 原生 怨声 
yuan#sheng#zai#dao 怨声载道 
yuan#shi 原始 原是 院士 
yuan#shi#ji#lei 原始积累 
yuan#shi#kai 袁世凯 
yuan#shi#ren 原始人 
yuan#shou 元首 援手 
yuan#shu 原属 
yuan#shuai 元帅 
yuan#su 元素 
yuan#suo 院所 
yuan#tian#you#ren 怨天尤人 
yuan#tiao 远眺 
yuan#tou 源头 远投 
yuan#wai 援外 员外 
yuan#wang 冤枉 远望 愿望 
yuan#wei 原委 原味 原位 
yuan#wei#min 袁伟民 
yuan#wen 原文 
yuan#wu 原物 
yuan#wu#qu 圆舞曲 
yuan#xi 院系 
yuan#xian 原先 
yuan#xiao 元宵 远销 院校 
yuan#xiao#jie 元宵节 
yuan#xing 原型 圆形 远行 
yuan#xiong 元凶 
yuan#xun 元勋 
yuan#yan 怨言 
yuan#yang 鸳鸯 原样 远扬 远洋 
yuan#ye 原野 
yuan#yi 原意 园艺 愿意 
yuan#yin 原因 援引 
yuan#you 原由 原油 原有 缘由 远游 
yuan#yu 源于 缘于 
yuan#yuan 渊源 圆圆 源源 远远 
yuan#yuan#ben#ben 原原本本 
yuan#yuan#bu#duan 源源不断 
yuan#yuan#liu#chang 源远流长 
yuan#yue 元月 
yuan#zai 远在 
yuan#ze 原则 
yuan#ze#shang 原则上 
yuan#ze#xing 原则性 
yuan#zhang 园长 院长 
yuan#zheng 远征 
yuan#zhi 原汁 原职 原址 
yuan#zhong 原种 院中 
yuan#zhu 原主 原著 援助 圆柱 
yuan#zhu#bi 圆珠笔 
yuan#zhuang 原装 原状 
yuan#zhuo 圆桌 
yuan#zhuo#hui#yi 圆桌会议 
yuan#zi 原子 园子 源自 院子 
yuan#zi#dan 原子弹 
yuan#zi#neng 原子能 
yuan#zuo 原作 
yue 乐 锐 说 曰 约 越 跃 钥 岳 粤 月 悦 阅 哕 瀹 栎 樾 刖 钺 
yue#bao 月报 阅报 
yue#bao#lan 阅报栏 
yue#bing 月饼 阅兵 
yue#bing#shi 阅兵式 
yue#cai 粤菜 
yue#chu 跃出 月初 
yue#dan 约旦 
yue#dan#he 约旦河 
yue#di 月底 
yue#ding 约定 
yue#ding#su#cheng 约定俗成 
yue#dong 越冬 跃动 
yue#du 阅读 
yue#dui 乐队 
yue#er 月儿 悦耳 
yue#fa 越发 
yue#fa#san#zhang 约法三章 
yue#fang 越方 
yue#fei 岳飞 
yue#fen 月份 
yue#fu 岳父 
yue#gao 约稿 
yue#gong 越共 
yue#guang 月光 
yue#gui 越轨 
yue#guo 越过 跃过 
yue#han 约翰 
yue#han#nei#si#bao 约翰内斯堡 
yue#hao 约好 
yue#hui 约会 
yue#ji 越级 月季 
yue#jian 约见 
yue#jie 越界 
yue#jin 跃进 
yue#jing 越境 月经 
yue#ju 跃居 
yue#juan 阅卷 
yue#kan 月刊 
yue#lai#yue 越来越 
yue#lan 阅览 
yue#lan#shi 阅览室 
yue#li 阅历 
yue#liang 月亮 
yue#mo 月末 
yue#mu 岳母 悦目 
yue#nan 越南 
yue#piao 月票 
yue#pu 乐谱 
yue#qi 乐器 跃起 
yue#qing 约请 
yue#qiu 月球 
yue#qu 乐曲 
yue#quan 越权 
yue#ran 跃然 
yue#ran#zhi#shang 跃然纸上 
yue#ru 跃入 
yue#shang 跃上 
yue#sheng 乐声 跃升 
yue#shi 越是 
yue#shou 乐手 
yue#shu 约束 
yue#shu#li 约束力 
yue#tan 乐坛 
yue#tuan 乐团 
yue#wei 越位 
yue#wu 乐舞 
yue#xin 月薪 
yue#ya 月牙 
yue#yang 越洋 岳阳 
yue#yang#lou 岳阳楼 
yue#ye 越野 月夜 
yue#ye#che 越野车 
yue#ye#sai 越野赛 
yue#yin 乐音 
yue#yu 越狱 粤语 
yue#yuan 月圆 
yue#yue 月月 
yue#yue#yu#shi 跃跃欲试 
yue#zhan 越战 
yue#zhang 乐章 
yue#zhong 月中 
yue#zu#dai#pao 越俎代庖 
yun 筼 员 耘 云 郧 匀 陨 允 运 蕴 酝 晕 韵 孕 赟 郓 芸 恽 愠 纭 韫 殒 昀 氲 熨 筠 
yun#cai 云彩 
yun#cang 蕴藏 
yun#cang#liang 蕴藏量 
yun#ceng 云层 
yun#cheng 运城 
yun#chou 运筹 
yun#chou#wei#wo 运筹帷幄 
yun#chu 运出 
yun#dao 运到 晕倒 
yun#di 运抵 
yun#dong 运动 
yun#dong#chang 运动场 
yun#dong#fu 运动服 
yun#dong#hui 运动会 
yun#dong#jian#jiang 运动健将 
yun#dong#liang 运动量 
yun#dong#yi 运动衣 
yun#dong#yuan 运动员 
yun#dong#yuan#cun 运动员村 
yun#dong#zhan 运动战 
yun#duan 云端 
yun#fei 运费 
yun#fu 孕妇 
yun#gui 云贵 
yun#gui#gao#yuan 云贵高原 
yun#han 蕴含 蕴涵 
yun#he 云和 运河 
yun#he#qu 运河区 
yun#hui 运回 
yun#huo 运货 
yun#ji 云集 
yun#jia 运价 
yun#jin 运进 
yun#ju 运距 
yun#lai 运来 
yun#li 运力 
yun#liang 运粮 运量 
yun#long 云龙 
yun#luo 陨落 
yun#lv 韵律 
yun#nan 云南 
yun#nan#sheng 云南省 
yun#neng 运能 
yun#niang 酝酿 
yun#nuo 允诺 
yun#qi 运气 孕期 
yun#shan 云杉 云山 
yun#shi 陨石 
yun#shu 运输 
yun#shu#che 运输车 
yun#shu#chuan 运输船 
yun#shu#dui 运输队 
yun#shu#fei 运输费 
yun#shu#xian 运输线 
yun#shu#ye 运输业 
yun#song 运送 
yun#suan 运算 
yun#tian 云天 
yun#tou#zhuan#xiang 晕头转向 
yun#tu 云图 
yun#wang 运往 
yun#wei 韵味 
yun#wu 云雾 
yun#xia 云霞 
yun#xian 云县 郧县 
yun#xiao 云霄 运销 
yun#xing 运行 
yun#xu 允许 
yun#yan 云烟 
yun#ying 运营 
yun#yong 运用 
yun#yu 孕育 
yun#yun 云云 
yun#yun#zhong#sheng 芸芸众生 
yun#zai 运载 
yun#zai#huo#jian 运载火箭 
yun#zhi 运至 
yun#zhuan 运转 
yun#zou 运走 
yun#zuo 运作 
za 臜 匝 砸 杂 咱 扎 咋 咂 
za#cao 杂草 
za#fei 杂费 
za#huai 砸坏 
za#huo 杂货 
za#huo#dian 杂货店 
za#ji 杂技 
za#jia 咱家 
za#jiao 杂交 
za#lan 砸烂 
za#le 砸了 
za#liang 杂粮 
za#luan 杂乱 
za#luan#wu#zhang 杂乱无章 
za#sui 砸碎 
za#wen 杂文 
za#wu 杂物 
za#zhi 杂志 杂质 
za#zhi#she 杂志社 
zai 栽 哉 灾 宰 载 再 在 仔 崽 甾 
zai#an 在案 
zai#ban 再版 
zai#bian 在编 
zai#bu 再不 
zai#ce 在册 
zai#chang 在场 
zai#chao 在朝 
zai#ci 再次 在此 
zai#dao 栽倒 
zai#di 在地 
zai#du 再度 在读 
zai#gang 在岗 
zai#ge 宰割 
zai#ge#zai#wu 载歌载舞 
zai#hai 灾害 
zai#hai#xing 灾害性 
zai#hang 在行 
zai#he 载荷 
zai#hu 在乎 
zai#hua 栽花 
zai#hun 再婚 
zai#huo 灾祸 载货 
zai#ji 在即 
zai#jia 再加 在家 
zai#jian 再见 在建 
zai#jie#zai#li 再接再厉 
zai#jiu#shi 再就是 
zai#ke 载客 
zai#lai 再来 
zai#li 在理 
zai#min 灾民 
zai#ming 载明 
zai#nan 灾难 
zai#nan#xing 灾难性 
zai#nei 在内 
zai#pei 栽培 
zai#qing 灾情 
zai#qu 灾区 
zai#ren 载人 
zai#ru 载入 
zai#san 再三 
zai#sha 宰杀 
zai#shen 再审 
zai#sheng 再生 
zai#sheng#chan 再生产 
zai#shi 在世 
zai#shuo 再说 
zai#suo#bu#xi 在所不惜 
zai#suo#nan#mian 在所难免 
zai#tao 在逃 
zai#ti 载体 
zai#tian#zhi#ling 在天之灵 
zai#wai 在外 
zai#wang 在望 
zai#wei 在位 
zai#wen 载文 再问 
zai#wo 在握 
zai#xia 栽下 在下 
zai#xian 再现 在先 在线 
zai#xiao 在校 
zai#xiao#sheng 在校生 
zai#xin 在心 
zai#xing 再行 
zai#xue 在学 
zai#ya 在押 
zai#ya#fan 在押犯 
zai#ye 再也 在野 
zai#ye#dang 在野党 
zai#ye#mei#you 再也没有 
zai#yi 在意 
zai#you 载有 再有 
zai#yu 载誉 在于 
zai#yun 载运 
zai#zao 再造 
zai#zhe 再者 
zai#zhi 栽植 在职 
zai#zhong 栽种 载重 
zai#zhong#liang 载重量 
zai#zhu 仔猪 
zai#zuo 再做 在座 
zan 咱 攒 暂 赞 瓒 昝 簪 糌 趱 錾 
zan#bi#ya 赞比亚 
zan#bu 暂不 
zan#bu#jue#kou 赞不绝口 
zan#cheng 赞成 
zan#cheng#piao 赞成票 
zan#cun 咱村 
zan#dao 赞道 
zan#ding 暂定 
zan#gao 暂告 
zan#ge 赞歌 
zan#huan 暂缓 
zan#ju 暂居 
zan#mei 赞美 
zan#men 咱们 
zan#qian 攒钱 
zan#qie 暂且 
zan#shang 赞赏 
zan#shi 暂时 
zan#song 赞颂 
zan#tan 赞叹 
zan#tan#bu#yi 赞叹不已 
zan#ting 暂停 
zan#tong 赞同 
zan#xia 攒下 
zan#xing 暂行 
zan#xu 赞许 
zan#yang 赞扬 
zan#yu 赞语 赞誉 
zan#zhu 暂住 赞助 
zang 藏 赃 脏 葬 奘 驵 臧 
zang#bao 藏胞 
zang#bei 藏北 
zang#fu 脏腑 
zang#hua 脏话 
zang#huo 脏活 
zang#kuan 赃款 
zang#li 藏历 葬礼 
zang#luan 脏乱 
zang#luan#cha 脏乱差 
zang#min 藏民 
zang#qi 脏器 
zang#shen 葬身 
zang#song 葬送 
zang#wen 藏文 
zang#wu 赃物 
zang#yi 藏医 
zang#yu 藏语 
zang#zu 藏族 
zao 遭 糟 凿 藻 枣 早 澡 蚤 躁 噪 造 皂 灶 燥 
zao#bao 早报 
zao#can 早餐 
zao#cao 早操 
zao#ce 造册 
zao#cha 早茶 
zao#chen 早晨 
zao#cheng 造成 
zao#chu 造出 
zao#chu#wan#gui 早出晚归 
zao#chuan 造船 
zao#chuan#chang 造船厂 
zao#chuan#ye 造船业 
zao#chun 早春 
zao#dao 遭到 早到 早稻 
zao#dian 早点 
zao#dong 躁动 
zao#fan 早饭 造反 
zao#fang 造访 
zao#fu 造福 
zao#gao 糟糕 
zao#hua 造化 
zao#jia 造假 造价 
zao#jiu 早就 造就 
zao#lai 早来 
zao#lei 藻类 
zao#lin 造林 
zao#nian 早年 
zao#po 糟粕 
zao#qi 早期 早起 
zao#qiao 造桥 
zao#re 燥热 
zao#ri 早日 
zao#shang 早上 
zao#sheng 噪声 
zao#shi 早逝 早市 造势 
zao#shou 遭受 早熟 
zao#shu 枣树 
zao#ta 糟蹋 
zao#tai 灶台 
zao#tang 澡堂 
zao#tian 造田 
zao#tui 早退 
zao#wan 早晚 
zao#xian 早先 
zao#xiang 造像 
zao#xie 早些 造血 
zao#xing 造型 
zao#yang 遭殃 
zao#yao 造谣 
zao#yi 早已 造诣 
zao#yi#dian 早一点 
zao#yin 噪音 
zao#ying 造影 
zao#yu 遭遇 
zao#yu#zhan 遭遇战 
zao#zai 遭灾 
zao#zao 早早 
zao#zhi 造纸 
zao#zhi#chang 造纸厂 
zao#zhuang 枣庄 
zao#zi 枣子 
ze 侧 责 择 则 泽 咋 仄 赜 啧 帻 迮 昃 笮 舴 
ze#bei 责备 
ze#cheng 责成 
ze#guai 责怪 
ze#ling 责令 
ze#nan 责难 
ze#ou 择偶 
ze#ren 责任 
ze#ren#gan 责任感 
ze#ren#qu 责任区 
ze#ren#ren 责任人 
ze#ren#shu 责任书 
ze#ren#tian 责任田 
ze#ren#xin 责任心 
ze#ren#zhi 责任制 
ze#wu#pang#dai 责无旁贷 
ze#ye 择业 
ze#you 择优 
ze#ze 啧啧 
zei 贼 
zen 怎 
zen#bu 怎不 
zen#hui 怎会 
zen#me 怎么 
zen#me#ban 怎么办 
zen#me#yang 怎么样 
zen#neng 怎能 
zen#yang 怎样 
zeng 增 憎 曾 赠 综 缯 甑 罾 锃 
zeng#bu 增补 
zeng#chan 增产 
zeng#chuang 增创 
zeng#da 增大 
zeng#ding 赠订 
zeng#duo 增多 
zeng#fa 增发 
zeng#fu 增幅 
zeng#gao 增高 
zeng#gei 赠给 
zeng#guang 增光 
zeng#hui 增辉 
zeng#jia 增加 
zeng#jia#zhi 增加值 
zeng#jian 增减 增建 
zeng#jin 增进 
zeng#kai 增开 
zeng#li 增利 
zeng#liang 增量 锃亮 
zeng#pai 增派 
zeng#pei#yan 曾培炎 
zeng#pin 赠品 
zeng#qiang 增强 
zeng#qing#hong 曾庆红 
zeng#se 增色 
zeng#she 增设 
zeng#sheng 增生 
zeng#shi 增势 
zeng#shou 增收 
zeng#shou#jie#zhi 增收节支 
zeng#shu 赠书 
zeng#shui 增税 
zeng#song 赠送 
zeng#su 增速 
zeng#tian 增添 
zeng#wu 憎恶 
zeng#xian#zi 曾宪梓 
zeng#xiao 增效 
zeng#xuan 增选 
zeng#yan 赠言 
zeng#ying 增盈 
zeng#yu 赠予 赠与 
zeng#yuan 增援 
zeng#zhang 增长 
zeng#zhang#lv 增长率 
zeng#zhi 增支 增殖 增值 增至 
zeng#zhi#lv 增值率 
zeng#zhi#shui 增值税 
zeng#zi 增资 
zha 查 蜡 扎 喳 渣 札 轧 铡 闸 眨 栅 榨 咋 乍 炸 诈 柞 吒 咤 哳 喋 馇 楂 砟 蚱 鲊 
zha#bei#qu 闸北区 
zha#cai 榨菜 
zha#dan 炸弹 
zha#diao 炸掉 
zha#gen 扎根 
zha#huang 札幌 
zha#hui 炸毁 
zha#jin 扎进 
zha#kai 炸开 
zha#kan 乍看 
zha#kou 闸口 
zha#lan 栅栏 
zha#men 闸门 
zha#nuan#hai#han 乍暖还寒 
zha#pian 诈骗 
zha#shang 炸伤 
zha#she 咋舌 
zha#shi 扎实 
zha#si 炸死 
zha#xia 扎下 
zha#xiang 炸响 
zha#yan 眨眼 
zha#yao 炸药 
zha#you 榨油 
zha#zha#shi#shi 扎扎实实 
zhai 侧 翟 祭 择 摘 斋 宅 窄 债 寨 砦 
zhai#bian 摘编 
zhai#chu 摘除 
zhai#deng 摘登 
zhai#diao 摘掉 
zhai#ji 宅基 
zhai#ji#di 宅基地 
zhai#lu 摘录 
zhai#qu 摘取 
zhai#quan 债权 债券 
zhai#quan#ren 债权人 
zhai#shi 债市 
zhai#tai#gao#zhu 债台高筑 
zhai#wu 债务 
zhai#wu#guo 债务国 
zhai#wu#ren 债务人 
zhai#xia 摘下 
zhai#xiao 窄小 
zhai#yao 摘要 
zhai#yue 斋月 
zhai#zhai 窄窄 
zhai#zhu 债主 
zhai#zi 寨子 
zhai#zou 摘走 
zhan 颤 瞻 毡 詹 粘 沾 盏 斩 辗 崭 展 蘸 栈 占 战 站 湛 绽 谵 旃 
zhan#ba 战罢 
zhan#bai 战败 
zhan#ban 展板 
zhan#bao 战报 
zhan#bei 战备 
zhan#bian 沾边 
zhan#bo 展播 
zhan#bu 占卜 
zhan#bu#zhu#jiao 站不住脚 
zhan#chang 战场 
zhan#che 战车 
zhan#cheng 战成 站成 
zhan#chi 展翅 
zhan#chu 展出 
zhan#chu#lai 站出来 
zhan#dao 栈道 
zhan#di 占地 战地 
zhan#dian 站点 
zhan#ding#jie#tie 斩钉截铁 
zhan#dou 战斗 
zhan#dou#ji 战斗机 
zhan#dou#li 战斗力 
zhan#duan 斩断 站段 
zhan#fa 战法 
zhan#fan 战犯 
zhan#fang 毡房 绽放 
zhan#fu 战俘 
zhan#gang 站岗 
zhan#gong 战功 
zhan#gu 战鼓 
zhan#guo 战国 战果 
zhan#hao 战壕 站好 
zhan#hou 战后 
zhan#huo 战火 
zhan#huo#fen#fei 战火纷飞 
zhan#ji 战机 战绩 
zhan#jian 战舰 
zhan#jiang 战将 湛江 
zhan#jin 占尽 
zhan#ju 占据 战局 
zhan#kai 展开 绽开 
zhan#kuang 战况 
zhan#lan 展览 湛蓝 
zhan#lan#guan 展览馆 
zhan#lan#hui 展览会 
zhan#li 站里 站立 
zhan#lian 粘连 
zhan#ling 占领 
zhan#ling#jun 占领军 
zhan#lu 展露 
zhan#lu#tou#jiao 崭露头角 
zhan#luan 战乱 
zhan#lve 战略 
zhan#lve#wu#zi 战略物资 
zhan#lve#xing 战略性 
zhan#ma 战马 
zhan#man 沾满 占满 站满 
zhan#ming 站名 
zhan#mu 战幕 
zhan#nei 站内 
zhan#pai 站牌 
zhan#pian#yi 占便宜 
zhan#pin 展品 
zhan#ping 战平 
zhan#qi 展期 战旗 
zhan#qi#lai 站起来 
zhan#qian 战前 站前 
zhan#qian#gu#hou 瞻前顾后 
zhan#qiao 栈桥 
zhan#qu 展区 战区 站区 
zhan#quan 占全 
zhan#ran 沾染 
zhan#shang 沾上 站上 
zhan#shang#feng 占上风 
zhan#sheng 战胜 
zhan#shi 展示 展室 战时 战士 战事 
zhan#shi#hui 展示会 
zhan#shu 战术 
zhan#tai 展台 站台 
zhan#tie 粘贴 
zhan#ting 展厅 
zhan#tuan 展团 
zhan#wang 展望 
zhan#wei 展位 站位 
zhan#wen 站稳 
zhan#wu#bu#sheng 战无不胜 
zhan#xian 展现 战线 
zhan#xiao 展销 
zhan#xiao#hui 展销会 
zhan#xin 崭新 
zhan#yang 瞻仰 
zhan#yi 战役 
zhan#yong 占用 
zhan#you 占有 战友 
zhan#you#lv 占有率 
zhan#you#shi 占优势 
zhan#zhan 站站 
zhan#zhan#zi#xi 沾沾自喜 
zhan#zhang 站长 
zhan#zheng 战争 
zhan#zheng#shi 战争史 
zhan#zhu 站住 
zhan#zhuan 辗转 
zhang 长 樟 章 彰 漳 张 掌 涨 杖 丈 帐 账 仗 胀 瘴 障 仉 鄣 幛 嶂 獐 璋 蟑 
zhang#ai 障碍 
zhang#ai#wu 障碍物 
zhang#bang 张榜 
zhang#bei 长辈 张北 
zhang#chao 涨潮 
zhang#cheng 长成 章程 
zhang#chu 长出 
zhang#da 长大 张大 
zhang#dao 长到 
zhang#deng#jie#cai 张灯结彩 
zhang#fa 章法 
zhang#fei 张飞 
zhang#fu 涨幅 丈夫 
zhang#gao 长高 
zhang#guan 长官 掌管 
zhang#he 漳河 
zhang#hu 账户 
zhang#jia 涨价 
zhang#jia#gang 张家港 
zhang#jia#jie 张家界 
zhang#jia#kou 张家口 
zhang#jie 章节 
zhang#jin 长进 
zhang#jun#qiu 张君秋 
zhang#kai 张开 
zhang#ke#hui 张克辉 
zhang#kou 张口 
zhang#lao 长老 
zhang#li 张力 
zhang#liang 丈量 
zhang#luo 张罗 涨落 
zhang#man 长满 
zhang#mu 账目 
zhang#peng 帐篷 
zhang#qian 张骞 
zhang#quan 掌权 
zhang#shang#ming#zhu 掌上明珠 
zhang#sheng 掌声 
zhang#sheng#lei#dong 掌声雷动 
zhang#shi 长势 张氏 涨势 
zhang#shu 樟树 
zhang#si#de 张思德 
zhang#si#qing 张思卿 
zhang#sun 长孙 
zhang#tie 张贴 
zhang#wan#nian 张万年 
zhang#wang 张望 
zhang#wo 掌握 
zhang#xian 漳县 
zhang#xiang 长相 
zhang#xue#liang 张学良 
zhang#yang 张扬 
zhang#ye 张掖 
zhang#yi#zhi#yan 仗义执言 
zhang#zhang 张张 
zhang#zhe 长者 
zhang#zhou 漳州 
zhang#zi 长子 
zhang#zui 张嘴 
zhao 朝 嘲 招 昭 找 沼 赵 照 罩 兆 肇 召 爪 着 诏 啁 棹 钊 笊 
zhao#ban 照搬 照办 
zhao#biao 招标 
zhao#bu#dao 找不到 
zhao#bu#zhao 找不着 
zhao#chang 照常 
zhao#chao 照抄 
zhao#chu 找出 
zhao#chu#lu 找出路 
zhao#dai 招待 
zhao#dai#hui 招待会 
zhao#dai#suo 招待所 
zhao#dao 找到 
zhao#fa 招法 
zhao#gong 招工 
zhao#gu 招股 照顾 
zhao#guan 照管 
zhao#hao 找好 
zhao#hu 招呼 
zhao#huan 召唤 
zhao#hui 朝晖 找回 照会 召回 
zhao#hun 招魂 
zhao#huo 着火 
